x_m,y_m,w_tr_left_m,w_tr_right_m
-730.34758,43.1248,4.886742,4.886742
-735.186151,42.6353,4.901546,4.901546
-740.033931,42.1493,4.913696,4.913696
-744.881711,41.6633,4.925845,4.925845
-749.72949,41.1774,4.937995,4.937995
-754.57727,40.6914,4.950145,4.950145
-759.460084,40.1981,4.958515,4.958515
-764.306125,39.6948,4.953184,4.953184
-769.146502,39.145,4.994575,4.994575
-773.98625,38.5901,5.041149,5.041149
-778.825999,38.0352,5.087722,5.087722
-783.665747,37.4804,5.134296,5.134296
-788.826503,36.8122,5.122392,5.122392
-793.627806,35.9846,5.128914,5.128914
-798.429109,35.157,5.135435,5.135435
-803.134356,34.2941,5.224175,5.224175
-807.895244,33.3333,5.446492,5.446492
-812.656295,32.3729,5.668302,5.668302
-817.872348,31.1428,5.658246,5.658246
-822.609106,30.0027,5.642859,5.642859
-827.345864,28.8625,5.627472,5.627472
-832.079947,27.7113,5.623474,5.623474
-836.825383,26.5405,5.631032,5.631032
-841.554601,25.3691,5.634188,5.634188
-846.28382,24.1978,5.637344,5.637344
-851.014964,23.0345,5.632215,5.632215
-855.703346,21.9095,5.621306,5.621306
-860.443564,20.7835,5.621645,5.621645
-865.183782,19.6575,5.621984,5.621984
-869.924,18.5315,5.622323,5.622323
-875.121407,17.0529,5.410897,5.410897
-879.780161,15.673,5.203942,5.203942
-884.08948,14.4714,5.083241,5.083241
-888.808515,13.2599,5.071081,5.071081
-893.962253,11.8576,5.005449,5.005449
-898.820567,9.4912,5.338704,5.338704
-903.82435,6.4041,5.336586,5.336586
-907.910144,2.3021,5.435437,5.435437
-911.390051,-3.2421,5.622678,5.622678
-913.611169,-8.35,5.405859,5.405859
-914.96727,-13.297,5.198049,5.198049
-915.993767,-18.0587,5.140276,5.140276
-917.020263,-22.8204,5.082504,5.082504
-917.805494,-25.8051,5.464772,5.464772
-919.535866,-32.0554,5.612484,5.612484
-920.589755,-36.8101,5.693212,5.693212
-921.710339,-41.1438,5.624253,5.624253
-923.331554,-45.2842,5.628911,5.628911
-925.010648,-48.8857,5.46757,5.46757
-927.495631,-52.5821,5.551805,5.551805
-930.186964,-56.1658,5.431555,5.431555
-933.130577,-58.9824,5.472212,5.472212
-936.53253,-61.8797,5.415848,5.415848
-940.452937,-64.7571,5.244237,5.244237
-943.714376,-66.7062,5.121906,5.121906
-948.079583,-68.8699,5.102136,5.102136
-952.438348,-71.0466,5.096924,5.096924
-956.792322,-73.233,5.102537,5.102537
-961.084877,-75.3826,5.114101,5.114101
-965.453586,-77.5383,5.153733,5.153733
-969.822295,-79.694,5.193365,5.193365
-974.194589,-81.8426,5.224973,5.224973
-978.584744,-83.9554,5.2166,5.2166
-983.012727,-86.0901,5.20517,5.20517
-987.39379,-88.2211,5.176401,5.176401
-991.774853,-90.3522,5.147632,5.147632
-996.155916,-92.4832,5.118863,5.118863
-1000.525963,-94.6373,5.115596,5.115596
-1004.867083,-96.766,5.12803,5.12803
-1009.243612,-98.9067,5.145262,5.145262
-1013.620141,-101.0474,5.162493,5.162493
-1018.005835,-103.1695,5.158931,5.158931
-1022.530161,-105.3978,5.12018,5.12018
-1026.862346,-107.6092,5.057812,5.057812
-1031.294246,-110.6939,5.514135,5.514135
-1035.310855,-113.4513,5.535176,5.535176
-1039.580376,-116.7176,5.441133,5.441133
-1043.401093,-120.487,5.581705,5.581705
-1046.927524,-124.8812,5.589486,5.589486
-1050.119756,-129.4328,5.443863,5.443863
-1052.71482,-133.5365,5.252609,5.252609
-1055.369667,-138.3394,5.058426,5.058426
-1057.309943,-142.7968,5.018554,5.018554
-1059.182715,-147.2941,5.056423,5.056423
-1060.460776,-150.394,5.315859,5.315859
-1063.387106,-156.1829,5.607958,5.607958
